event_id,release_date,hop,p_i,n_i,prefix_probability,ci_lower,ci_upper,ci_width,state,reason,evsi,review_cost,break_even_probability,execution_reached,is_executed_stop,evaluation_mode,link_parameter_variance_share,measurement_variance_share,regime_drift_variance_share,common_frailty_variance_share,external_cutoff_variance_share
NFP_201101_REL_20110204,2011-02-04,1,0.4411185911094655,63.5128838585354,0.43621470937674217,0.26516005147232574,0.6190336241484647,0.353873572676139,STOP_ABSTAIN,wide_ci_and_review_evsi_below_cost,2.55351295663786e-15,0.01,0.20800000000000002,True,True,executed,0.8446272700840199,0.0052971010399978,0.011255260666818494,0.20455085145339488,0.0020615165758232946
NFP_201101_REL_20110204,2011-02-04,2,0.530567360516488,21.06495016347412,0.2316863925966994,0.10950192957218109,0.3889413475883395,0.2794394180161584,STOP_ABSTAIN,next_review_evsi_below_cost,0.008261608609239718,0.01,0.20800000000000002,False,False,counterfactual_after_stop,0.8680606802630225,0.004597718859963278,0.008531425623143513,0.17752591181911945,0.0009387506983163013
NFP_201101_REL_20110204,2011-02-04,3,0.37607440517588675,14.861855942812628,0.08730869846134329,0.026349903607149543,0.17817398308160398,0.15182407947445445,STOP_REJECT,ci_upper_below_break_even,2.0369154033799697e-06,0.01,0.20800000000000002,False,False,counterfactual_after_stop,0.8597249915107735,0.0037411350527156,0.006495243066345475,0.14889488244584645,0.0004127955801425346
NFP_201102_REL_20110304,2011-03-04,1,0.4055819454668851,63.5128838585354,0.400982205131263,0.25089330276298455,0.5573039555766384,0.3064106528136538,STOP_ABSTAIN,wide_ci_and_review_evsi_below_cost,5.551115123125783e-16,0.01,0.20800000000000002,True,True,executed,0.7483331530022764,0.006304994451750155,0.022891877783638787,0.25731886519389663,0.002455729318675076
NFP_201102_REL_20110304,2011-03-04,2,0.5212414182403283,21.06495016347412,0.20952734282098298,0.1042605272645531,0.33737918790763916,0.23311866064308606,CONTINUE,next_review_evsi_exceeds_cost,0.015975494570207957,0.01,0.20800000000000002,False,False,counterfactual_after_stop,0.7646361610143356,0.005438547305450596,0.017009081399444605,0.22304831690511281,0.0011200369244431419
NFP_201102_REL_20110304,2011-03-04,3,0.3990975608414081,14.861855942812628,0.0838936252307422,0.028737944831295412,0.1661343870925535,0.13739644226125808,STOP_REJECT,ci_upper_below_break_even,5.3737542730093e-08,0.01,0.20800000000000002,False,False,counterfactual_after_stop,0.7598427216459409,0.004406811167750411,0.01258752706278664,0.18566127453256737,0.0005113320357145818
NFP_201103_REL_20110401,2011-04-01,1,0.4050071082338783,63.5128838585354,0.4004551386320452,0.2508483449855272,0.5656244990324916,0.31477615404696435,STOP_ABSTAIN,wide_ci_and_review_evsi_below_cost,5.800915303666443e-15,0.01,0.20800000000000002,True,True,executed,0.7397749703417892,0.006462256772493327,0.028914872006639256,0.24477593168376918,0.0022455451799747493
NFP_201103_REL_20110401,2011-04-01,2,0.5201501190938477,21.06495016347412,0.208581197568079,0.10216661446783545,0.3405597727928072,0.23839315832497174,CONTINUE,next_review_evsi_exceeds_cost,0.01665466817137646,0.01,0.20800000000000002,False,False,counterfactual_after_stop,0.762541012908371,0.005575633544480206,0.022478538742874997,0.2278010601404458,0.0010563836748717296
NFP_201103_REL_20110401,2011-04-01,3,0.40104827292951667,14.861855942812628,0.08381843197561727,0.029226414113216144,0.16381888026126504,0.1345924661480489,STOP_REJECT,ci_upper_below_break_even,2.4341830685840204e-08,0.01,0.20800000000000002,False,False,counterfactual_after_stop,0.8055125849354727,0.004611981880053658,0.017233522748010426,0.19604356479881158,0.0005026988712881252
NFP_201104_REL_20110506,2011-05-06,1,0.400777366235287,63.5128838585354,0.39628214114788807,0.2462178615736478,0.5623892308598513,0.3161713692862035,STOP_ABSTAIN,wide_ci_and_review_evsi_below_cost,2.6645352591003757e-15,0.01,0.20800000000000002,True,True,executed,0.7289066317545384,0.006362196545751544,0.038354078843666685,0.24067780759548799,0.0021093592366192297
NFP_201104_REL_20110506,2011-05-06,2,0.519478764181191,21.06495016347412,0.20605804335952904,0.09924843532323353,0.3379192500781371,0.2386708147549036,CONTINUE,next_review_evsi_exceeds_cost,0.016146630939433863,0.01,0.20800000000000002,False,False,counterfactual_after_stop,0.7657223283813497,0.005443759747763202,0.029275370218262098,0.22281464902701523,0.0009879707703391637
NFP_201104_REL_20110506,2011-05-06,3,0.4035353742509909,14.861855942812628,0.08353970182566438,0.028807842282566727,0.16363335036348683,0.13482550808092011,STOP_REJECT,ci_upper_below_break_even,6.37659693750664e-08,0.01,0.20800000000000002,False,False,counterfactual_after_stop,0.7926727621641633,0.004348708178700657,0.02126143901831389,0.18995002094659802,0.00046737367580186557
NFP_201105_REL_20110603,2011-06-03,1,0.2621707726657695,63.5128838585354,0.25921152928440494,0.1284124284470629,0.4315403255631589,0.303127897116096,STOP_ABSTAIN,wide_ci_and_review_evsi_below_cost,0.003252570980843167,0.01,0.20800000000000002,True,True,executed,0.7866097714208424,0.004422505076610686,0.025789873040400917,0.1635911603399679,0.0009566084568835051
NFP_201105_REL_20110603,2011-06-03,2,0.49626080749908225,21.06495016347412,0.1288380383852983,0.045703807475840644,0.24933689762651537,0.2036330901506747,STOP_REJECT,next_review_evsi_below_cost,0.00046389667036558275,0.01,0.20800000000000002,False,False,counterfactual_after_stop,0.8275184251210926,0.003520671613133709,0.02018763369606555,0.14668866538679642,0.0005023684982268362
NFP_201105_REL_20110603,2011-06-03,3,0.4207873526170699,14.861855942812628,0.05471104150673442,0.012843213299844326,0.12754839974325152,0.1147051864434072,STOP_REJECT,ci_upper_below_break_even,1.4601694417496631e-09,0.01,0.20800000000000002,False,False,counterfactual_after_stop,0.8025830147824107,0.0027865173067386727,0.014678955496460812,0.12127213081026482,0.00026262810775832325
NFP_201106_REL_20110708,2011-07-08,1,0.25970774625330384,63.5128838585354,0.25675511735631973,0.12386178758755485,0.4226258100211747,0.2987640224336199,STOP_ABSTAIN,next_review_evsi_below_cost,0.0033397848418632928,0.01,0.20800000000000002,True,True,executed,0.8060218874147584,0.004347884105751605,0.0341035025802981,0.17762772690983603,0.0010070906649859532
NFP_201106_REL_20110708,2011-07-08,2,0.4977454884823505,21.06495016347412,0.1282047908241938,0.04491225300578103,0.24908011708107353,0.2041678640752925,STOP_REJECT,next_review_evsi_below_cost,0.00043995519795452946,0.01,0.20800000000000002,False,False,counterfactual_after_stop,0.8313876087751365,0.0036220202759949995,0.025365280399102,0.1557695684107713,0.0005180896347080393
NFP_201106_REL_20110708,2011-07-08,3,0.424030219713758,14.861855942812628,0.054617479548536976,0.012795735916949559,0.12565770206733648,0.11286196615038692,STOP_REJECT,ci_upper_below_break_even,8.582810910383272e-10,0.01,0.20800000000000002,False,False,counterfactual_after_stop,0.812370146502143,0.0030132101343490294,0.01942464053652968,0.13136285939486628,0.0002832180090158692
NFP_201107_REL_20110805,2011-08-05,1,0.4276026032507744,63.5128838585354,0.4228106210989667,0.2631488758679205,0.5951377363423337,0.33198886047441317,STOP_ABSTAIN,wide_ci_and_review_evsi_below_cost,2.7755575615628914e-15,0.01,0.20800000000000002,True,True,executed,0.7363739915871942,0.0058143373259115765,0.04789661568985167,0.22153334487868132,0.0021136206778766676
NFP_201107_REL_20110805,2011-08-05,2,0.5232377301907295,21.06495016347412,0.2215045929606971,0.10552803294845886,0.36505763868496727,0.2595296057365084,STOP_ABSTAIN,next_review_evsi_below_cost,0.011271897101355639,0.01,0.20800000000000002,False,False,counterfactual_after_stop,0.7875036548203562,0.004755218563123437,0.038732302987294756,0.19598168738788221,0.0009789790109753888
NFP_201107_REL_20110805,2011-08-05,3,0.38409547638751157,14.861855942812628,0.08557555491924346,0.027891510256786548,0.17412795389566046,0.14623644363887392,STOP_REJECT,ci_upper_below_break_even,2.844894513823142e-07,0.01,0.20800000000000002,False,False,counterfactual_after_stop,0.7641177677632655,0.0038090799644829674,0.027539491234350476,0.1572432870681106,0.0004237172748928419
NFP_201108_REL_20110902,2011-09-02,1,0.2467475174910342,63.5128838585354,0.24402313916749954,0.12723486706601406,0.39872160642866716,0.2714867393626531,STOP_ABSTAIN,next_review_evsi_below_cost,0.0037466068197294367,0.01,0.20800000000000002,True,True,executed,0.7501879196774017,0.0049151691947616725,0.048356041851719316,0.19934453478042413,0.0010300401055112068
NFP_201108_REL_20110902,2011-09-02,2,0.48951079948675597,21.06495016347412,0.11970574252858397,0.04375824049628519,0.22956663858566134,0.18580839808937616,STOP_REJECT,next_review_evsi_below_cost,8.771851029783158e-05,0.01,0.20800000000000002,False,False,counterfactual_after_stop,0.7834723486078577,0.003954499967933291,0.03584027804212932,0.16764480974787266,0.0005170837537918559
NFP_201108_REL_20110902,2011-09-02,3,0.43548750980086154,14.861855942812628,0.05213268134118502,0.012813408949589666,0.11448221287640634,0.10166880392681667,STOP_REJECT,ci_upper_below_break_even,0.0,0.01,0.20800000000000002,False,False,counterfactual_after_stop,0.8226043171453706,0.00343293339217781,0.029143690985196036,0.1482980943630904,0.00029405047126093513
NFP_201109_REL_20111007,2011-10-07,1,0.44628199289063764,63.5128838585354,0.4412262373563842,0.26312971366489496,0.6289119942692994,0.3657822806044045,STOP_ABSTAIN,wide_ci_and_review_evsi_below_cost,0.0,0.01,0.20800000000000002,True,True,executed,0.7732658659993474,0.004873215694781462,0.05278099014335164,0.18890665914638446,0.0018931412613099204
NFP_201109_REL_20111007,2011-10-07,2,0.5312792460079788,21.06495016347412,0.2349354277376772,0.10903629102662234,0.39823249721446985,0.2891962061878475,STOP_ABSTAIN,next_review_evsi_below_cost,0.007684645561384595,0.01,0.20800000000000002,False,False,counterfactual_after_stop,0.7968450889714671,0.00412550943975196,0.04120430275503847,0.17376750207591501,0.0008727759781856652
NFP_201109_REL_20111007,2011-10-07,3,0.37861883408579977,14.861855942812628,0.0890604829524117,0.027163441417089568,0.18508603051270467,0.1579225890956151,STOP_REJECT,ci_upper_below_break_even,2.9685195901699688e-06,0.01,0.20800000000000002,False,False,counterfactual_after_stop,0.8275417348138941,0.0036002998777357824,0.03161119572338898,0.15621645071881762,0.00039892928948573943
NFP_201110_REL_20111104,2011-11-04,1,0.2625736148852173,63.5128838585354,0.2596734387563589,0.1282794391912241,0.4326107270876919,0.3043312878964678,STOP_ABSTAIN,wide_ci_and_review_evsi_below_cost,0.0032028546987325213,0.01,0.20800000000000002,True,True,executed,0.8011053258579713,0.004348466014840977,0.05103737019937857,0.16642996914332717,0.0009311697521230014
NFP_201110_REL_20111104,2011-11-04,2,0.49987213822568993,21.06495016347412,0.13023200182367745,0.044599360200761454,0.2533449552381504,0.208745595037389,STOP_REJECT,next_review_evsi_below_cost,0.0006246756265852106,0.01,0.20800000000000002,False,False,counterfactual_after_stop,0.7907116614916901,0.0034281221540460494,0.03712369945334288,0.1445814990818367,0.00047709514531629835
NFP_201110_REL_20111104,2011-11-04,3,0.4225190181839861,14.861855942812628,0.05512883261725121,0.013089856296219567,0.1287146864665586,0.11562483017033903,STOP_REJECT,ci_upper_below_break_even,1.5651701311493752e-09,0.01,0.20800000000000002,False,False,counterfactual_after_stop,0.8302057709603606,0.002873107623609136,0.028073546034397902,0.12431149792551204,0.0002570027171100751
NFP_201111_REL_20111202,2011-12-02,1,0.44543551766507966,63.5128838585354,0.44030027796016385,0.2651526969617768,0.6284878603121044,0.36333516335032756,STOP_ABSTAIN,wide_ci_and_review_evsi_below_cost,1.942890293094024e-15,0.01,0.20800000000000002,True,True,executed,0.8050673143066633,0.005151323523719846,0.06223407494817757,0.19554482193410316,0.0020630620460583135
NFP_201111_REL_20111202,2011-12-02,2,0.5287346528910162,21.06495016347412,0.2331096608509071,0.10736224640283014,0.3944597252879668,0.28709747888513665,STOP_ABSTAIN,next_review_evsi_below_cost,0.008481237572342197,0.01,0.20800000000000002,False,False,counterfactual_after_stop,0.7864019832098049,0.004324731219331724,0.04982842783906375,0.17013102271652963,0.0009172144636659392
NFP_201111_REL_20111202,2011-12-02,3,0.3777149300810653,14.861855942812628,0.08853795622366226,0.02646056328603452,0.18501167243235428,0.15855110914631976,STOP_REJECT,ci_upper_below_break_even,3.498289496502506e-06,0.01,0.20800000000000002,False,False,counterfactual_after_stop,0.8318236754769238,0.003736774710318526,0.0375320950878643,0.14631549240252245,0.0004100426215302568
NFP_201112_REL_20120106,2012-01-06,1,0.4165204321744661,63.5128838585354,0.41200298226170995,0.2495213292793257,0.5867564643458428,0.33723513506651714,STOP_ABSTAIN,wide_ci_and_review_evsi_below_cost,5.551115123125783e-17,0.01,0.20800000000000002,True,True,executed,0.7024169933271284,0.005519454413685744,0.08142828718453565,0.22070471122676674,0.001970410834348271
